forbes_name,clean_name,education
Vladimir Potanin,Vladimir Potanin,Moscow State Institute of International Relations Masters (M.Sc) in Finance (MGIMO) with the Ministry of Foreign Affairs
Robert Pera,Robert Pera,"University of California, San Diego ( BS , BA ), MSE )"
Dilip Shanghvi,Dilip Shanghvi,University of Calcutta
Peter Thiel,Peter Thiel,"Stanford University ( BA , JD )"
David Tepper,David Tepper,University of Pittsburgh ( BA ) Carnegie Mellon University ( MS )
Cyrus Poonawalla,Cyrus Poonawalla,Brihan Maharashtra College of Commerce
Gennady Timchenko,Gennady Timchenko,
Zheng Shuliang & family,Zheng Shuliang,
Steve Cohen,Steve Cohen,
Vicky Safra & family,Vicky Safra,
Ernest Garcia II,Ernest Garcia II,University of Arizona
Giancarlo Devasini,Giancarlo Devasini,University of Milan
Diane Hendricks,Diane Hendricks,
François Pinault & family,François Pinault,
Kumar Birla,Kumar Birla,University of Mumbai ( BCom ) London Business School ( MBA )
Qin Yinglin,Qin Yinglin,Henan Agricultural University
Stanley Kroenke,Stanley Kroenke,"University of Missouri ( BA , MBA )"
Rick Cohen & family,Rick Cohen,
Huang Shilin,Huang Shilin,Hefei University of Technology ( B.Tech )
John Menard Jr,John Menard Jr,
R. Budi Hartono,R. Budi Hartono,Diponegoro University
Christy Walton,Christy Walton,
Harry Triguboff,Harry Triguboff,University of Leeds
Renata Kellnerova & family,Renata Kellnerova,
Jerry Jones & family,Jerry Jones,
Henry Nicholas III,Henry Nicholas III,"University of California Los Angeles ( BS , MS , Ph.D., Electrical Engineering, 1998 PhD ) [ 1 ]"
Radhakishan Damani,Radhakishan Damani,
Philip Anschutz,Philip Anschutz,University of Kansas
Zhong Huijuan,Zhong Huijuan,"Jiangsu Normal University (Bachelor's), Nanjing University (Master's) [ 3 ]"
Michael Hartono,Michael Hartono,Diponegoro University
Donald Bren,Donald Bren,University of Washington ( BA )
Lakshmi Mittal,Lakshmi Mittal,"St. Xavier's College, Kolkata , ( B.Com. ) [ 1 ]"
Lu Xiangyang,Lu Xiangyang,
Israel Englander,Israel Englander,New York University (BS)
Michael Platt,Michael Platt,
Stefan Persson,Stefan Persson,
