forbes_name,clean_name,education
Andrew Cherng,Andrew Cherng,Baker University ( BS ) University of Missouri ( MS )
Peggy Cherng,Peggy Cherng,"Oregon State University ( BS ) University of Missouri ( MS , PhD )"
Gopikishan Damani,Gopikishan Damani,
Edward Roski Jr,Edward Roski Jr,
Jeffrey Lurie & family,Jeffrey Lurie,Clark University Boston University Brandeis University
Alexei Kuzmichev,Alexei Kuzmichev,
Peter Gilgan,Peter Gilgan,
Ding Shizhong,Ding Shizhong,
Thomas Schmidheiny,Thomas Schmidheiny,Tufts University Zurich Polytechnic
Mangal Prabhat Lodha,Mangal Prabhat Lodha,"Bachelor of Commerce , Bachelor in Law – University of Jodhpur"
Maria Angelicoussis,Maria Angelicoussis,
Melanie Perkins,Melanie Perkins,University of Western Australia
Cliff Obrecht,Cliff Obrecht,University of Western Australia
Georg Nemetschek & family,Georg Nemetschek,
Viktor Kharitonin,Viktor Kharitonin,
George Soros,George Soros,"London School of Economics ( BSc , MSc )"
Alexander Gerko,Alexander Gerko,"Moscow State University ( BSc , MSc , PhD ) New Economic School ( MSc )"
Philip Ng,Philip Ng,
Kelcy Warren,Kelcy Warren,University of Texas at Arlington
Michael Milken,Michael Milken,"University of California, Berkeley ( BS ) University of Pennsylvania ( MBA )"
John Sall,John Sall,
Gary Rollins & family,Gary Rollins,University of Tennessee at Chattanooga
Dona Bertarelli,Dona Bertarelli,
Andrei Skoch & family,Andrei Skoch,Institute of Physical Culture Sholokhov Moscow State University for Humanities
Timur Turlov,Timur Turlov,Moscow State Aviation Technological University
Lachhman Das Mittal,Lachhman Das Mittal,Panjab University
Robert Ng,Robert Ng,
Shapoor Mistry,Shapoor Mistry,
Li Ge,Li Ge,
Tench Coxe,Tench Coxe,
Min Kao & family,Min Kao,"National Taiwan University ( BS ) University of Tennessee ( MS , PhD )"
Pedro Moreira Salles,Pedro Moreira Salles,"University of California, Los Angeles"
Massimiliana Landini Aleotti & family,Massimiliana Landini Aleotti,
Wang Yusuo & family,Wang Yusuo,People's University of China Tianjin University
John Grayken,John Grayken,University of Pennsylvania Harvard Business School
Iskander Makhmudov,Iskander Makhmudov,Tashkent University
Lynsi Snyder,Lynsi Snyder,Citrus College (no degree)
Janice McNair & family,Janice McNair,Columbia College
Remon Vos,Remon Vos,
Maximilian Viessmann,Maximilian Viessmann,
Ding Shijia,Ding Shijia,Fujian Institute of Economics and Management . [ 1 ]
Jim Davis & family,Jim Davis,
Cai Haoyu,Cai Haoyu,Shanghai Jiao Tong University ( BSc. & MSc. )
James Clark,James Clark,
Carlos Alberto Sicupira & family,Carlos Alberto Sicupira,Federal University of Rio de Janeiro .
Seo Jung-jin,Seo Jung-jin,
Dirk Ziff,Dirk Ziff,
Robert Ziff,Robert Ziff,Harvard University (BA) Cornell University (JD)
Daniel Ziff,Daniel Ziff,Columbia University
Sudhir Mehta,Sudhir Mehta,Gujarat University
Samir Mehta,Samir Mehta,BK School of Business Management
Richard Tsai,Richard Tsai,National Taiwan University ( BA ) New York University ( MBA )
Daniel Tsai,Daniel Tsai,National Taiwan University ( LLB ) Georgetown University ( LLM )
Radovan Vitek,Radovan Vitek,University of West Bohemia
Scott Cook,Scott Cook,
Teddy Sagi,Teddy Sagi,
Chase Coleman III,Chase Coleman III,Williams College
Vyacheslav Kim,Vyacheslav Kim,
Tsai Eng-meng,Tsai Eng-meng,
Claudio Del Vecchio,Claudio Del Vecchio,
Rocco Basilico,Rocco Basilico,
Clemente Del Vecchio,Clemente Del Vecchio,
Luca Del Vecchio,Luca Del Vecchio,
Paola Del Vecchio,Paola Del Vecchio,
Nicoletta Zampillo,Nicoletta Zampillo,
Leonardo Maria Del Vecchio,Leonardo Maria Del Vecchio,
Marisa Del Vecchio,Marisa Del Vecchio,
Zhang Xuexin & family,Zhang Xuexin,
Edythe Broad & family,Edythe Broad,
Joe Lewis,Joe Lewis,
Bruce Flatt,Bruce Flatt,University of Manitoba ( BComm )
Mark Meijer & family,Mark Meijer,
Hank Meijer & family,Hank Meijer,University of Michigan
Doug Meijer & family,Doug Meijer,University of Michigan
Odd Reitan & family,Odd Reitan,
Yuri Milner,Yuri Milner,Moscow State University ( BS ) University of Pennsylvania (dropped out)
Clive Calder,Clive Calder,
Marian Ilitch & family,Marian Ilitch,
Wu Yajun,Wu Yajun,Northwestern Polytechnical University
Jason Chang,Jason Chang,National Taiwan University ( BS ) Illinois Institute of Technology ( MS )
Kjeld Kirk Kristiansen,Kjeld Kirk Kristiansen,Aarhus University ( BA ) International Institute for Management Development ( MBA )
Hao Tang,Hao Tang,
Rahel Blocher,Rahel Blocher,
Jorge Moll Filho & family,Jorge Moll Filho,
Michael Moritz,Michael Moritz,University of Oxford (BA) University of Pennsylvania (MBA)
You Xiaoping & family,You Xiaoping,
Michael Kadoorie,Michael Kadoorie,Institut Le Rosey
Wolfgang Marguerre & family,Wolfgang Marguerre,Heidelberg University INSEAD
Han Arming Hanafia,Han Arming Hanafia,
Paul Singer,Paul Singer,
Jaran Chiaravanont,Jaran Chiaravanont,
Chip Wilson,Chip Wilson,University of Calgary ( BA )
Alain Bouchard,Alain Bouchard,
Martin Haefner,Martin Haefner,
Maria Fernanda Amorim & family,Maria Fernanda Amorim,
Karen Pritzker,Karen Pritzker,Northwestern University ( BA )
Zou Zhinong & family,Zou Zhinong,
Joseph Liemandt,Joseph Liemandt,Stanford University (dropped out)
Abdulsamad Rabiu,Abdulsamad Rabiu,
Erich Wesjohann & family,Erich Wesjohann,
Pierre Chen,Pierre Chen,National Cheng Kung University ( BS )
Yasumitsu Shigeta,Yasumitsu Shigeta,
Robert Rich Jr,Robert Rich Jr,
Michael Federmann & family,Michael Federmann,"Hebrew University of Jerusalem (BA, MBA)"
Helmut Sohmen,Helmut Sohmen,"University of Vienna , Southern Methodist University , University of Connecticut"
Arnon Milchan,Arnon Milchan,
Theo Mueller,Theo Mueller,
H. Ross Perot Jr,H. Ross Perot Jr,
Ron Baron,Ron Baron,Bucknell University George Washington University
Ray Lee Hunt,Ray Lee Hunt,Southern Methodist University ( BA )
Miguel Krigsner,Miguel Krigsner,
Dmitry Rybolovlev & family,Dmitry Rybolovlev,
Thomas Hagen & family,Thomas Hagen,
Herb Simon,Herb Simon,"University of Chicago ( BA , MA , PhD )"
Frederik Paulsen,Frederik Paulsen,
Liu Yonghao & family,Liu Yonghao,
Matthew Prince,Matthew Prince,"Trinity College, Connecticut ( BA ) University of Chicago ( JD ) Harvard University ( MBA )"
Ty Warner,Ty Warner,Kalamazoo College
Tomasz Biernacki,Tomasz Biernacki,
Tom Golisano,Tom Golisano,Alfred State College ( AAS )
Reed Hastings,Reed Hastings,Bowdoin College ( BA ) Stanford University ( MS )
Yitzhak Tshuva,Yitzhak Tshuva,
Venu Srinivasan,Venu Srinivasan,"College of Engineering, Guindy Purdue University"
Satyanarayan Nuwal,Satyanarayan Nuwal,
Lynda Resnick,Lynda Resnick,
Stewart Resnick,Stewart Resnick,"University of California, Los Angeles (BA, JD)"
Ma Jianrong,Ma Jianrong,
Jiang Rensheng & family,Jiang Rensheng,
Mike Adenuga,Mike Adenuga,Northwestern Oklahoma State University Pace University
Steve Lavin & family,Steve Lavin,
John A. Sobrato & family,John A. Sobrato,"Bellarmine College Preparatory , Santa Clara University"
William Berkley & family,William Berkley,
Xu Shihui,Xu Shihui,
Elizabeth Uihlein,Elizabeth Uihlein,
Richard Uihlein,Richard Uihlein,
Vincent Viola,Vincent Viola,United States Military Academy ( BS ) New York Law School ( JD )
Mark Walter,Mark Walter,Creighton University ( BA ) Northwestern University ( JD )
Carl Douglas,Carl Douglas,
Takao Yasuda,Takao Yasuda,
Stuart Hoegner,Stuart Hoegner,
Annette Lerner & family,Annette Lerner,
James Chambers,James Chambers,
Margaretta Taylor,Margaretta Taylor,
Katharine Rayner,Katharine Rayner,
Rajiv Bajaj,Rajiv Bajaj,"College of Engineering, Pune University of Warwick, England"
Sanjiv Bajaj,Sanjiv Bajaj,"University of Pune , University of Warwick , Harvard University"
Stephen Smith,Stephen Smith,
Baiju Bhatt,Baiju Bhatt,Stanford University
Eric Lefkofsky,Eric Lefkofsky,"University of Michigan ( BA , JD )"
Robert Bass,Robert Bass,Yale University ( BA ) Stanford University ( MBA )
Zhou Chaonan,Zhou Chaonan,
Justin Ishbia,Justin Ishbia,Eli Broad College of Business ( BA ) Vanderbilt University Law School ( JD )
Michael Intrator,Michael Intrator,
Mitchell Morgan & family,Mitchell Morgan,
Stefano Pessina,Stefano Pessina,Polytechnic University of Milan ( BS )
Eric Douglas,Eric Douglas,
Richard Li,Richard Li,Stanford University (dropped out)
Mark Scheinberg,Mark Scheinberg,
Robert Hale Jr,Robert Hale Jr,
Mark Cuban,Mark Cuban,Mt. Lebanon High School University of Pittsburgh Indiana University Bloomington ( BS )
Gang Ye,Gang Ye,
Richard Liu,Richard Liu,Renmin University ( LLB ) China Europe International Business School ( MBA )
Kjell Inge Rokke,Kjell Inge Rokke,
Dan Kurzius,Dan Kurzius,
Ronald Wanek,Ronald Wanek,
Donald Trump,Donald Trump,University of Pennsylvania ( BS )
William Goldring & family,William Goldring,
Reinhold Schmieding,Reinhold Schmieding,Michigan State University
Daryl Katz,Daryl Katz,"University of Alberta ( BA , LLB )"
Alexander Abramov,Alexander Abramov,Moscow Institute of Physics and Technology
Shari Arison,Shari Arison,"Drop Out, Miami Dade College"
Heinrich Otto Deichmann,Heinrich Otto Deichmann,
Wolfgang Herz,Wolfgang Herz,
Michael Herz,Michael Herz,
Matthias Reinhart,Matthias Reinhart,
Neal Blue & family,Neal Blue,Yale University
Stefan von Holtzbrinck,Stefan von Holtzbrinck,
Yu Renrong,Yu Renrong,
Trevor Rees-Jones,Trevor Rees-Jones,
Rick Caruso,Rick Caruso,University of Southern California ( BS ) Pepperdine University ( JD )
John Reece,John Reece,University of Cambridge
Jiang Bin,Jiang Bin,
Nusli Wadia,Nusli Wadia,
Andrew Currie,Andrew Currie,
Rakesh Gangwal,Rakesh Gangwal,Indian Institute of Technology Kanpur ( BT ) University of Pennsylvania ( MBA )
Dirk Rossmann & family,Dirk Rossmann,
Joe Mansueto,Joe Mansueto,"University of Chicago ( AB , MBA )"
Archie Aldis Emmerson & family,Archie Aldis Emmerson,
Mikhail Lomtadze,Mikhail Lomtadze,
Don Vultaggio & family,Don Vultaggio,
Thomas Pritzker,Thomas Pritzker,"Claremont McKenna College ( BA ) University of Chicago ( JD , MBA )"
Martha Ingram & family,Martha Ingram,Vassar College
Robin Li,Robin Li,Peking University ( BMgt ) University at Buffalo ( MS )
Isabel Boehringer,Isabel Boehringer,
Albert Boehringer,Albert Boehringer,
Johannes von Baumbach,Johannes von Baumbach,
Katharina von Baumbach,Katharina von Baumbach,
Philipp Boehringer,Philipp Boehringer,
Erich von Baumbach,Erich von Baumbach,
Otto Boehringer,Otto Boehringer,
Barbara Boehringer,Barbara Boehringer,
Ulrike von Baumbach,Ulrike von Baumbach,
Hubertus von Baumbach,Hubertus von Baumbach,
Maximilian von Baumbach,Maximilian von Baumbach,
Mathias Boehringer,Mathias Boehringer,
Franz von Baumbach,Franz von Baumbach,
Christoph Boehringer,Christoph Boehringer,
Christian Boehringer,Christian Boehringer,
Mikhail Gutseriev,Mikhail Gutseriev,Gubkin Russian State University of Oil and Gas Financial University under the Government of the Russian Federation
Garrett Camp,Garrett Camp,"University of Calgary ( BSc , MSc )"
Jon Stryker,Jon Stryker,"University of California, Berkeley ( BA ) Kalamazoo College ( MArch )"
Dinara Kulibaeva,Dinara Kulibaeva,Russian Institute of Theatre Arts (1989) KIMEP (1998) University of Canterbury
Bill Haslam,Bill Haslam,Emory University ( BA )
Thomas Secunda,Thomas Secunda,"Binghamton University ( BS , MS )"
Timur Kulibayev,Timur Kulibayev,Moscow State University
John Henry,John Henry,
Leonid Boguslavsky,Leonid Boguslavsky,
Paolo Rocca,Paolo Rocca,University of Milan
Gianfelice Rocca,Gianfelice Rocca,University of Milan
Vladimir Kim,Vladimir Kim,
Carl Thoma,Carl Thoma,
Tsai Hong-tu,Tsai Hong-tu,"National Taiwan University ( LLB ) Southern Methodist University ( JD , PhD )"
Dietmar Hopp & family,Dietmar Hopp,
Li Xiang,Li Xiang,
Horst Julius Pudwill,Horst Julius Pudwill,
Agoes Projosasmito,Agoes Projosasmito,
Zong Fuli,Zong Fuli,
Vivek Chaand Sehgal,Vivek Chaand Sehgal,University of Delhi
Max Van Hoegaerden Herrmann Telles,Max Van Hoegaerden Herrmann Telles,
Franz Viegener,Franz Viegener,
Mario Verrocchi,Mario Verrocchi,
Renuka Jagtiani,Renuka Jagtiani,
Yang Shaopeng,Yang Shaopeng,
Margarita Louis-Dreyfus & family,Margarita Louis-Dreyfus,
Rocco Commisso,Rocco Commisso,"Columbia University (BSc, MBA)"
Anna Viegener,Anna Viegener,
Samuel Yin,Samuel Yin,Chinese Culture University ( BA ) National Taiwan University ( MBA ) National Chengchi University ( PhD )
Sergio Stevanato & family,Sergio Stevanato,
Vlad Tenev,Vlad Tenev,Stanford ( BA ) UCLA (dropped out)
Bert Beveridge,Bert Beveridge,
Tsai Cheng-ta,Tsai Cheng-ta,
Charles B. Johnson,Charles B. Johnson,Yale University [ 1 ]
Alexandre Behring,Alexandre Behring,Pontifical Catholic University of Rio de Janeiro Harvard Business School
Romesh T. Wadhwani,Romesh T. Wadhwani,IIT Bombay Carnegie Mellon University
Gordon Getty & family,Gordon Getty,University of San Francisco San Francisco Conservatory of Music
Zhu Yan & family,Zhu Yan,
Michael Novogratz,Michael Novogratz,Princeton University
Jerzy Starak,Jerzy Starak,
Patrick Soon-Shiong,Patrick Soon-Shiong,University of the Witwatersrand ( MBBCh ) University of British Columbia ( MSc ) University of Witwatersrand ( MD )
Ken Xie & family,Ken Xie,"Tsinghua University ( BS , BS ) Stanford University ( MS )"
Arkady Rotenberg,Arkady Rotenberg,"Lesgaft National State University of Physical Education, Sport and Health [ 1 ]"
Ricardo Salinas Pliego & family,Ricardo Salinas Pliego,Tecnológico de Monterrey Tulane University (MBA) [ 1 ]
Jack Dorsey,Jack Dorsey,Missouri University of Science and Technology New York University (dropped out)
Stephen Cohen,Stephen Cohen,
Jon Yarbrough,Jon Yarbrough,Tennessee Technological University
Jeremy Jacobs Sr & family,Jeremy Jacobs Sr,
Sofia Högberg Schörling,Sofia Högberg Schörling,
Märta Schörling Andreen,Märta Schörling Andreen,
Zhu Baoguo & family,Zhu Baoguo,
Jeff Skoll,Jeff Skoll,University of Toronto Stanford University
Michael Ashley,Michael Ashley,
Russ Weiner,Russ Weiner,San Diego State University
Frank Wang,Frank Wang,"Hong Kong University of Science and Technology ( BE , MPhil ) [ 1 ]"
George Lucas,George Lucas,Modesto Junior College University of Southern California ( BFA )
Murat Ulker,Murat Ulker,Boğaziçi University American Institute of Baking Die Süßwaren-Akademie
M.A. Yusuff Ali,M.A. Yusuff Ali,
Zhang Daocai,Zhang Daocai,
Nikolai Buinov,Nikolai Buinov,
Gwendolyn Sontheim Meyer,Gwendolyn Sontheim Meyer,
Zhang Yong,Zhang Yong,
Edward Stack & family,Edward Stack,
Torbjorn Tornqvist,Torbjorn Tornqvist,Stockholm University
Karsanbhai Patel,Karsanbhai Patel,BSc in Chemistry
Giuseppe De'Longhi & family,Giuseppe De'Longhi,Ca' Foscari University of Venice
Ian Livingstone,Ian Livingstone,
Richard Livingstone,Richard Livingstone,"New College, Oxford"
Li Min,Li Min,
Jim Coulter,Jim Coulter,
Qian Dongqi,Qian Dongqi,
Ben Chestnut,Ben Chestnut,University of Georgia Georgia Institute of Technology
Smita Crishna Godrej,Smita Crishna Godrej,
Hortensia Herrero,Hortensia Herrero,
Niels Peter Louis-Hansen,Niels Peter Louis-Hansen,
Andre Koo,Andre Koo,
Daniel D'Aniello,Daniel D'Aniello,Syracuse University Harvard University
Steven Spielberg,Steven Spielberg,"California State University, Long Beach ( BA )"
Chandru Raheja,Chandru Raheja,University of Mumbai
Gao Dekang & family,Gao Dekang,
Tomas Olivo Lopez,Tomas Olivo Lopez,
Gil Shwed,Gil Shwed,
Nicolas D'Ieteren,Nicolas D'Ieteren,
Margot Birmingham Perot,Margot Birmingham Perot,
Liu Jingkang,Liu Jingkang,
Hans Georg Naeder & family,Hans Georg Naeder,
Chen Zhiping,Chen Zhiping,
Bob Gaglardi & family,Bob Gaglardi,
Willy Michel,Willy Michel,
Jamshyd Godrej,Jamshyd Godrej,Cathedral & John Connon School Illinois Institute of Technology
Josh Kushner,Josh Kushner,"Harvard University ( BA , MBA )"
Hu Kaijun,Hu Kaijun,
Rudolf Maag,Rudolf Maag,
Kwek Leng Beng,Kwek Leng Beng,
Christiane Schoeller,Christiane Schoeller,
Ruan Xueping,Ruan Xueping,
Ruan Liping,Ruan Liping,
Emanuele (Lino) Saputo & family,Emanuele (Lino) Saputo,
Joesley Batista,Joesley Batista,
Wesley Batista,Wesley Batista,
Lutz Mario Helmig & family,Lutz Mario Helmig,
Jean (Gigi) Pritzker,Jean (Gigi) Pritzker,
Arturo Moreno,Arturo Moreno,University of Arizona ( BS )
Tom Morris,Tom Morris,
Fernand Huts,Fernand Huts,
Peter Kellogg,Peter Kellogg,Babson College (dropped out) [ 1 ]
Evangelos Marinakis & family,Evangelos Marinakis,
Tim Sweeney,Tim Sweeney,University of Maryland [ 3 ]
Morris Chang,Morris Chang,"Harvard University Massachusetts Institute of Technology ( BS , MS , ME ) Stanford University ( PhD )"
Mark Leonard & family,Mark Leonard,
Bruce Cheng,Bruce Cheng,
Cho Tak Wong,Cho Tak Wong,
Fan Hongwei,Fan Hongwei,
Naguib Sawiris,Naguib Sawiris,ETH Zurich
Nirmal Minda,Nirmal Minda,
Dagmar Dolby & family,Dagmar Dolby,"Heidelberg University , Cambridge University"
Robert Faith,Robert Faith,University of Oklahoma ( BS ) Harvard University ( MBA )
Albert Avdolyan,Albert Avdolyan,
Akira Mori & family,Akira Mori,Keio University
Jason Jiang,Jason Jiang,East China Normal University Cheung Kong Graduate School of Business
Hamad bin Jassim bin Jaber Al Thani,Hamad bin Jassim bin Jaber Al Thani,
Vikas Oberoi,Vikas Oberoi,
Michael Pieper,Michael Pieper,University of St. Gallen
Barry Diller,Barry Diller,"University of California, Los Angeles (no degree)"
Anthony Hall,Anthony Hall,
Luo Liguo & family,Luo Liguo,
Hamilton James & family,Hamilton James,"Harvard University ( BA , MBA )"
Stephen Feinberg,Stephen Feinberg,Princeton University ( BA )
Mike Brown & family,Mike Brown,
Patrizio Bertelli,Patrizio Bertelli,University of Florence Bologna University
Miuccia Prada,Miuccia Prada,"University of Milan ( BA , PhD )"
Sam Hupert,Sam Hupert,
Chairul Tanjung,Chairul Tanjung,University of Indonesia
Peter Cancro,Peter Cancro,
Mong-Koo Chung,Mong-Koo Chung,
Eric Yuan & family,Eric Yuan,Shandong University of Science and Technology ( BS ) China University of Mining and Technology ( MS )
Thomas Straumann,Thomas Straumann,
Abdulla Al Futtaim & family,Abdulla Al Futtaim,
Isaac Perlmutter,Isaac Perlmutter,
Scott Crabill,Scott Crabill,
Ryan Cohen,Ryan Cohen,
Ronald Lauder,Ronald Lauder,University of Pennsylvania ( BS ) University of Paris University of Brussels
Holden Spaht,Holden Spaht,
Steven Klinsky,Steven Klinsky,
Zhang Hejun,Zhang Hejun,
Kim Beom-su,Kim Beom-su,
Jeffrey Koo Jr,Jeffrey Koo Jr,
Seth Boro,Seth Boro,
Eren Ozmen,Eren Ozmen,"University of Nevada, Reno (MBA)"
Bom Kim,Bom Kim,Harvard University (BA)
Vinod Rai Gupta,Vinod Rai Gupta,
James Cargill II,James Cargill II,
Marianne Liebmann,Marianne Liebmann,Montana State University
Austen Cargill II,Austen Cargill II,University of Minnesota Oregon State University
Lim Hariyanto Wijaya Sarwono,Lim Hariyanto Wijaya Sarwono,
John Catsimatidis,John Catsimatidis,New York University
Walther Moreira Salles Junior,Walther Moreira Salles Junior,
Joao Moreira Salles,Joao Moreira Salles,
Thomas Kaeser,Thomas Kaeser,
Shen Guojun,Shen Guojun,
Gail Miller & family,Gail Miller,
Anthony von Mandl,Anthony von Mandl,
Pyotr Aven,Pyotr Aven,Moscow State University
Huang Li,Huang Li,
Helen Johnson-Leipold,Helen Johnson-Leipold,
Abhay Firodia,Abhay Firodia,
Hansjoerg Wyss,Hansjoerg Wyss,"ETH Zurich ( BS , MS ) Harvard University ( MBA )"
Andrew Karam,Andrew Karam,"Tufts University ( BA , BS )"
Michel Leclercq & family,Michel Leclercq,
Dan Snyder,Dan Snyder,
Peter Spuhler,Peter Spuhler,University of St. Gallen
Chen Dongsheng,Chen Dongsheng,
Koon Poh Keong,Koon Poh Keong,
Phil Ruffin,Phil Ruffin,Washburn University Wichita State University
Steven Meng Yang & family,Steven Meng Yang,
Lee Boo-jin,Lee Boo-jin,Yonsei University
George Bishop,George Bishop,
Winifred J. Marquart,Winifred J. Marquart,
H. Fisk Johnson,H. Fisk Johnson,Cornell University ( BA ) Cornell University ( MBA )
S. Curtis Johnson,S. Curtis Johnson,Cornell University Kellogg School of Management
Fatih Ozmen,Fatih Ozmen,"University of Nevada, Reno (MS)"
Alejandro Bulgheroni,Alejandro Bulgheroni,University of Buenos Aires
Carl Icahn,Carl Icahn,Princeton University ( BA )
David Rubenstein,David Rubenstein,Duke University ( BA ) University of Chicago ( JD )
Michael Xie,Michael Xie,
Tatyana Kim,Tatyana Kim,
William Conway Jr,William Conway Jr,
Xia Zuoquan,Xia Zuoquan,
Qiu Jianping & family,Qiu Jianping,
Klaus-Peter Schulenberg,Klaus-Peter Schulenberg,
Marc Ladreit de Lacharriere,Marc Ladreit de Lacharriere,École nationale d'administration
Lee Thiam Wah,Lee Thiam Wah,
Hong Feng,Hong Feng,
Mahendra Choksi & family,Mahendra Choksi,
Li Wanqiang,Li Wanqiang,
Rupert Johnson Jr,Rupert Johnson Jr,
Erik Selin,Erik Selin,
Igor Kesaev,Igor Kesaev,Moscow State Institute of International Relations
David Filo,David Filo,Tulane University ( BS ) Stanford University ( MS )
Cai Kui,Cai Kui,
Abdulla bin Ahmad Al Ghurair & family,Abdulla bin Ahmad Al Ghurair,
Pansy Ho,Pansy Ho,Santa Clara University (BA)
Maria Del Pino,Maria Del Pino,
Peter Gassner,Peter Gassner,"Oregon State University , 1989"
Laurence Graff & family,Laurence Graff,
Miguel Fluxa Rossello,Miguel Fluxa Rossello,
Zarakh Iliev,Zarakh Iliev,
God Nisanov,God Nisanov,College of Finance and Credit Baku Institute of Law
Saban Cemil Kazanci,Saban Cemil Kazanci,
Steven Udvar-Hazy,Steven Udvar-Hazy,"University of California, Los Angeles ( BA )"
Carlo Fidani,Carlo Fidani,
Stefan Reimann-Andersen,Stefan Reimann-Andersen,
Renate Reimann-Haas,Renate Reimann-Haas,
Matthias Reimann-Andersen,Matthias Reimann-Andersen,
Wolfgang Reimann,Wolfgang Reimann,
George Economou,George Economou,
Euisun Chung,Euisun Chung,Korea University (BBA) University of San Francisco ( MBA )
Nadir Godrej,Nadir Godrej,IIT Bombay MIT Stanford University Harvard Business School
Shekhar Bajaj,Shekhar Bajaj,
Niraj Bajaj,Niraj Bajaj,
Xiao Yongming & family,Xiao Yongming,
Beatriz Davila de Santo Domingo,Beatriz Davila de Santo Domingo,
Lynn Schusterman & family,Lynn Schusterman,University of Miami
Markus Blocher,Markus Blocher,ETH Zurich (PhD)
Lin Tsung-Chi,Lin Tsung-Chi,
Liu Wei,Liu Wei,
Anthony Pritzker,Anthony Pritzker,Dartmouth College ( BA ) University of Chicago ( MBA )
Ivan Tavrin,Ivan Tavrin,Moscow State Institute of International Relations
José E. Feliciano,José E. Feliciano,Princeton University Stanford Graduate School of Business ( M.B.A. )
Hiroshi Mikitani,Hiroshi Mikitani,Hitotsubashi University Harvard Business School
Adi Godrej,Adi Godrej,"St. Xavier's College, Mumbai MIT Sloan School of Management"
Peter Preben Wilhelmsen,Peter Preben Wilhelmsen,
Bent Wilhelmsen,Bent Wilhelmsen,
Arne Alexander Wilhelmsen,Arne Alexander Wilhelmsen,
Richard Schulze,Richard Schulze,
Dewi Kam,Dewi Kam,
Hu Baifan,Hu Baifan,
Behdad Eghbali,Behdad Eghbali,"Haas School of Business at the University of California, Berkeley"
N.R. Narayana Murthy,N.R. Narayana Murthy,"National Institute of Engineering, Mysuru ( BE ) IIT Kanpur ( MTech )"
Donald Sterling,Donald Sterling,"California State University, Los Angeles ( BA ) Southwestern Law School ( JD )"
Samvel Karapetyan,Samvel Karapetyan,
Travis Boersma,Travis Boersma,
Shaul Shani,Shaul Shani,
Byron Trott,Byron Trott,"University of Chicago ( AB , MBA )"
Tsai Ming-kai,Tsai Ming-kai,National Taiwan University ( BS ) University of Cincinnati ( MS )
Oleg Deripaska,Oleg Deripaska,Moscow State University Plekhanov Russian University of Economics
Alpana Dangi,Alpana Dangi,
John Middleton,John Middleton,
Maggie Hardy,Maggie Hardy,
Kevin David Lehmann,Kevin David Lehmann,
Masahiro Noda,Masahiro Noda,
Andrej Babis,Andrej Babis,"University of Economics, Bratislava"
Hong Ra-hee,Hong Ra-hee,Seoul National University
Yakir Gabay,Yakir Gabay,Hebrew University
Luo Yuhao,Luo Yuhao,
Stewart Rahr,Stewart Rahr,New York University
Rajiv Jain,Rajiv Jain,
Carlos Hank Rhon & family,Carlos Hank Rhon,Universidad Nacional Autonoma de Mexico ( BS )
Brunello Cucinelli & family,Brunello Cucinelli,
Xue Min,Xue Min,
Eleanor Butt Crook & family,Eleanor Butt Crook,
Su Hua,Su Hua,Tsinghua University
Kailashchandra Nuwal,Kailashchandra Nuwal,
Wang Jianlin,Wang Jianlin,Liaoning University
Fan Daidi,Fan Daidi,
Paul Foster,Paul Foster,
Cameron Winklevoss,Cameron Winklevoss,"Harvard University Christ Church, Oxford"
Tyler Winklevoss,Tyler Winklevoss,"Harvard University (BA) Christ Church, Oxford (MBA)"
Rodger Riney & family,Rodger Riney,University of Missouri
Lu Weiding,Lu Weiding,
Cai Dongchen,Cai Dongchen,
Daniel Och,Daniel Och,Wharton School of the University of Pennsylvania
Huang Shan,Huang Shan,
Drayton McLane Jr,Drayton McLane Jr,
Phillip T. (Terry) Ragon,Phillip T. (Terry) Ragon,
Pat Stryker,Pat Stryker,University of Northern Colorado (dropped out)
Egor Kulkov,Egor Kulkov,
Lee Seo-hyun,Lee Seo-hyun,Parsons School of Design (graduated 1997)
Penny Pritzker,Penny Pritzker,"Harvard University ( BA ) Stanford University ( JD , MBA )"
Alan Trefler,Alan Trefler,Dartmouth College
Anna Katharina Viessmann,Anna Katharina Viessmann,
Roger Samuelsson,Roger Samuelsson,
Fu Liquan,Fu Liquan,
Florentino Perez,Florentino Perez,Technical University of Madrid
Thomas Siebel,Thomas Siebel,"University of Illinois Urbana-Champaign ( BA , MBA , MS )"
Vivek Jain,Vivek Jain,
Lai Meisong,Lai Meisong,
Masahiro Miki,Masahiro Miki,Toho Gakuen Tanki University (1976)
James Duff,James Duff,
Sanjit Biswas,Sanjit Biswas,Stanford University (B.S.) MIT (S.M.)
Thomas Duff,Thomas Duff,
Herbert Wertheim,Herbert Wertheim,University of Florida Southern College of Optometry
Todd Christopher,Todd Christopher,
Stewart Horejsi & family,Stewart Horejsi,
Lin Chen-hai,Lin Chen-hai,
Joseph Grendys,Joseph Grendys,Loyola University ( BBA )
Neal Aronson,Neal Aronson,Lehigh University
Mark Shoen,Mark Shoen,College of the Holy Cross ( BA )
Paul-Heinz Wesjohann & family,Paul-Heinz Wesjohann,
Charles Zegar,Charles Zegar,Long Island University ( BA ) New York University ( MS )
Bob Parsons,Bob Parsons,University of Baltimore (BS)
C. Dean Metropoulos,C. Dean Metropoulos,Babson College
Johnelle Hunt,Johnelle Hunt,University of Central Arkansas (dropped out)
