rank,id,name,source,country,gender,age,image,current_worth,previous_worth
1,elon-musk,Elon Musk,"Tesla, SpaceX",United States,M,54,https://specials-images.forbesimg.com/imageserve/62d700cd6094d2c180f269b9/416x416.jpg?background=000000&cropX1=0&cropX2=959&cropY1=0&cropY2=959,413.1,415.6
2,larry-ellison,Larry Ellison,Oracle,United States,M,81,https://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,271.6,272.6
3,mark-zuckerberg,Mark Zuckerberg,Facebook,United States,M,41,https://specials-images.forbesimg.com/imageserve/5c76b7d331358e35dd2773a9/416x416.jpg?background=000000&cropX1=0&cropX2=4401&cropY1=0&cropY2=4401,251.8,253.0
4,jeff-bezos,Jeff Bezos,Amazon,United States,M,61,https://specials-images.forbesimg.com/imageserve/67531eb2b5f7c9e191f632d7/416x416.jpg?background=000000&cropX1=316&cropX2=1027&cropY1=125&cropY2=838,237.6,240.9
5,larry-page,Larry Page,Google,United States,M,52,https://specials-images.forbesimg.com/imageserve/5c76bcaaa7ea43100043c836/416x416.jpg?background=000000&cropX1=227&cropX2=2022&cropY1=22&cropY2=1817,177.1,178.3
6,sergey-brin,Sergey Brin,Google,United States,M,52,https://specials-images.forbesimg.com/imageserve/5c7d7c254bbe6f78090d831f/416x416.jpg?background=000000&cropX1=475&cropX2=2887&cropY1=168&cropY2=2582,164.8,165.9
7,bernard-arnault,Bernard Arnault & family,LVMH,France,M,76,https://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,156.9,154.5
8,steve-ballmer,Steve Ballmer,Microsoft,United States,M,69,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=553&cropX2=2940&cropY1=322&cropY2=2708,152.7,153.1
9,warren-buffett,Warren Buffett,Berkshire Hathaway,United States,M,95,https://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,149.6,150.4
10,jensen-huang,Jensen Huang,Semiconductors,United States,M,62,https://specials-images.forbesimg.com/imageserve/68750a2d250de42ce7c5301b/416x416.jpg?background=000000&cropX1=832&cropX2=2632&cropY1=152&cropY2=1951,148.5,151.4
11,michael-dell,Michael Dell,Dell Technologies,United States,M,60,https://specials-images.forbesimg.com/imageserve/615c93f9da61f2ff5b9ecf9b/416x416.jpg?background=000000&cropX1=0&cropX2=1678&cropY1=118&cropY2=1797,128.5,128.7
12,rob-walton,Rob Walton & family,Walmart,United States,M,80,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=244&cropX2=1841&cropY1=60&cropY2=1658,118.5,117.7
13,jim-walton,Jim Walton & family,Walmart,United States,M,77,https://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,115.8,115.0
14,amancio-ortega,Amancio Ortega,Zara,Spain,M,89,https://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,113.8,115.9
15,michael-bloomberg,Michael Bloomberg,Bloomberg LP,United States,M,83,https://specials-images.forbesimg.com/imageserve/5c76b4104bbe6f24ad99c35d/416x416.jpg?background=000000&cropX1=165&cropX2=5613&cropY1=321&cropY2=5769,109.4,109.4
16,alice-walton,Alice Walton,Walmart,United States,F,75,https://specials-images.forbesimg.com/imageserve/5c7ef270a7ea434b351bca52/416x416.jpg?background=000000&cropX1=232&cropX2=998&cropY1=222&cropY2=988,107.2,106.5
17,bill-gates,Bill Gates,Microsoft,United States,M,69,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,106.8,107.0
18,mukesh-ambani,Mukesh Ambani,Diversified,India,M,68,https://specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089,101.6,101.0
19,carlos-slim-helu,Carlos Slim Helu & family,Telecom,Mexico,M,85,https://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,99.8,99.3
20,francoise-bettencourt-meyers,Francoise Bettencourt Meyers & family,L'Oréal,France,F,72,https://specials-images.forbesimg.com/imageserve/605e26e3c65f7c2596bd3e15/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,96.0,96.2
21,julia-koch,Julia Koch & family,"Koch, Inc.",United States,F,63,https://specials-images.forbesimg.com/imageserve/6601ce61b79552a97c9e786c/416x416.jpg?background=000000&cropX1=0&cropX2=2583&cropY1=522&cropY2=3106,81.2,81.2
22,thomas-peterffy,Thomas Peterffy,Discount brokerage,United States,M,80,https://specials-images.forbesimg.com/imageserve/5d8a5c6218444200084e6532/416x416.jpg?background=000000&cropX1=466&cropX2=1132&cropY1=297&cropY2=962,75.1,73.3
23,changpeng-zhao,Changpeng Zhao,Cryptocurrency exchange,Canada,M,48,https://specials-images.forbesimg.com/imageserve/61115ac5b4c5d23845419c4e/416x416.jpg?background=000000&cropX1=0&cropX2=911&cropY1=0&cropY2=911,74.8,74.8
24,charles-koch,Charles Koch & family,"Koch, Inc.",United States,M,89,https://specials-images.forbesimg.com/imageserve/615c94bd2aac2936a52682d1/416x416.jpg?background=000000&cropX1=286&cropX2=848&cropY1=110&cropY2=672,73.8,73.8
25,zhong-shanshan,Zhong Shanshan,"Beverages, pharmaceuticals",China,M,70,https://specials-images.forbesimg.com/imageserve/60380e390357bc1fbfc0bc32/416x416.jpg?background=000000&cropX1=116&cropX2=1327&cropY1=201&cropY2=1413,72.9,73.3
26,jeff-yass,Jeff Yass,"Trading, investments",United States,M,67,https://specials-images.forbesimg.com/imageserve/60649a21472ae5b09dad20b1/416x416.jpg?background=000000&cropX1=3&cropX2=819&cropY1=0&cropY2=816,65.7,65.7
27,zhang-yiming,Zhang Yiming,TikTok,China,M,41,https://specials-images.forbesimg.com/imageserve/618e91e427fcd6441f93c0c6/416x416.jpg?background=000000&cropX1=227&cropX2=1294&cropY1=14&cropY2=1080,65.5,65.5
28,ma-huateng,Ma Huateng,Online games,China,M,53,https://specials-images.forbesimg.com/imageserve/605e23c0f0986f688fbd3e15/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,61.1,60.7
29,gautam-adani-1,Gautam Adani,"Infrastructure, commodities",India,M,63,https://specials-images.forbesimg.com/imageserve/670474d6f47423f07099d307/416x416.jpg?background=000000&cropX1=67&cropX2=715&cropY1=86&cropY2=734,60.7,59.9
30,masayoshi-son,Masayoshi Son,"Telecom, Investments",Japan,M,68,https://specials-images.forbesimg.com/imageserve/5e8b632801879f000703e485/416x416.jpg?background=000000&cropX1=0&cropX2=4500&cropY1=833&cropY2=5330,52.6,55.2
31,stephen-schwarzman,Stephen Schwarzman,Investments,United States,M,78,https://specials-images.forbesimg.com/imageserve/5d89f4d318444200084e5265/416x416.jpg?background=000000&cropX1=1911&cropX2=5305&cropY1=26&cropY2=3418,51.5,51.9
32,ken-griffin,Ken Griffin,Hedge funds,United States,M,56,https://specials-images.forbesimg.com/imageserve/6247575a5af6af682d503f2f/416x416.jpg?background=000000&cropX1=0&cropX2=1966&cropY1=0&cropY2=1966,50.4,50.4
33,dieter-schwarz,Dieter Schwarz,Retail,Germany,M,86,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,47.2,47.2
34,tadashi-yanai,Tadashi Yanai & family,Fashion retail,Japan,M,76,https://specials-images.forbesimg.com/imageserve/66560a756b74351d5b0711e8/416x416.jpg?background=000000&cropX1=689&cropX2=1604&cropY1=78&cropY2=992,45.7,45.7
35,robin-zeng,Robin Zeng,Batteries,Hong Kong,M,56,https://specials-images.forbesimg.com/imageserve/654962ab9076bbbc6b520e65/416x416.jpg?background=000000&cropX1=934&cropX2=2307&cropY1=177&cropY2=1549,44.6,45.0
36,lei-jun,Lei Jun,"Smartphones, automobiles",China,M,55,https://specials-images.forbesimg.com/imageserve/6724f4cdbf363203c08958a2/416x416.jpg?background=000000&cropX1=294&cropX2=1007&cropY1=159&cropY2=872,44.4,42.1
37,william-ding,William Ding,Online games,China,M,53,https://specials-images.forbesimg.com/imageserve/65496210455fdb2807b461fc/416x416.jpg?background=000000&cropX1=376&cropX2=1713&cropY1=341&cropY2=1679,43.9,44.1
38,mark-mateschitz,Mark Mateschitz,Red Bull,Austria,M,33,https://specials-images.forbesimg.com/imageserve/642b2ae09caa113a6ce1c15e/416x416.jpg?background=000000&cropX1=898&cropX2=3376&cropY1=239&cropY2=2714,43.8,43.8
39,colin-huang,Colin Huang,E-commerce,China,M,45,https://specials-images.forbesimg.com/imageserve/5dc0500b3195ed0007eab3f7/416x416.jpg?background=000000&cropX1=1059&cropX2=3699&cropY1=45&cropY2=2683,42.9,42.4
40,jacqueline-mars,Jacqueline Mars,"Candy, pet food",United States,F,85,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=147&cropX2=1649&cropY1=377&cropY2=1879,42.2,42.2
40,john-mars,John Mars,"Candy, pet food",United States,M,89,https://specials-images.forbesimg.com/imageserve/5ba41e08a7ea434e4c6948eb/416x416.jpg?background=000000&cropX1=53&cropX2=1401&cropY1=9&cropY2=1357,42.2,42.2
42,giovanni-ferrero,Giovanni Ferrero,"Nutella, chocolates",Italy,M,60,https://specials-images.forbesimg.com/imageserve/5b11bc5ca7ea436b547f29cb/416x416.jpg?background=000000&cropX1=622&cropX2=1844&cropY1=361&cropY2=1582,41.2,41.2
43,li-ka-shing,Li Ka-shing,Diversified,Hong Kong,M,97,https://specials-images.forbesimg.com/imageserve/65d4c4432a6eece8368e841b/416x416.jpg?background=000000&cropX1=250&cropX2=1494&cropY1=226&cropY2=1471,40.9,40.7
44,eduardo-saverin,Eduardo Saverin,Facebook,Brazil,M,43,https://specials-images.forbesimg.com/imageserve/61114d7c57eb065321419c4e/416x416.jpg?background=000000&cropX1=0&cropX2=2236&cropY1=0&cropY2=2235,40.3,40.5
45,lukas-walton,Lukas Walton,Walmart ,United States,M,38,https://specials-images.forbesimg.com/imageserve/5d89f3c36de3150009a4e5bd/416x416.jpg?background=000000&cropX1=122&cropX2=576&cropY1=26&cropY2=480,40.0,39.8
46,reinhold-wuerth,Reinhold Wuerth & family,Fasteners,Germany,M,90,https://specials-images.forbesimg.com/imageserve/5e76350710380d0006fbadf8/416x416.jpg?background=000000&cropX1=2132&cropX2=5568&cropY1=0&cropY2=3434,39.7,39.7
47,savitri-jindal,Savitri Jindal & family,Steel,India,F,75,https://specials-images.forbesimg.com/imageserve/55f77874e4b0ffa7afe4940e/416x416.jpg?background=000000&cropX1=90&cropX2=676&cropY1=53&cropY2=640,39.1,38.2
48,rafaela-aponte-diamant,Rafaela Aponte-Diamant,Shipping,Switzerland,F,80,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,38.7,38.7
49,gianluigi-aponte,Gianluigi Aponte,Shipping,Switzerland,M,85,https://specials-images.forbesimg.com/imageserve/5e77ceeac7b02d000666de20/416x416.jpg?background=000000&cropX1=1096&cropX2=5302&cropY1=46&cropY2=4249,38.7,38.7
50,klaus-michael-kuehne,Klaus-Michael Kuehne,Shipping,Germany,M,88,https://specials-images.forbesimg.com/imageserve/5e762e4fc7b02d000666c89b/416x416.jpg?background=000000&cropX1=792&cropX2=4141&cropY1=0&cropY2=3347,37.8,37.8
51,gerard-wertheimer-1,Gerard Wertheimer,Chanel,France,M,74,https://specials-images.forbesimg.com/imageserve/645d02e2c7d39022642796dd/416x416.jpg?background=000000&cropX1=1150&cropX2=4216&cropY1=0&cropY2=3068,37.8,37.8
52,alain-wertheimer,Alain Wertheimer,Chanel,France,M,77,https://specials-images.forbesimg.com/imageserve/645d0add2a0a83a54a9aa149/416x416.jpg?background=000000&cropX1=0&cropX2=2730&cropY1=100&cropY2=2831,37.8,37.8
53,german-larrea-mota-velasco,Germán Larrea Mota Velasco & family,Mining,Mexico,M,71,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,37.0,36.3
54,andrea-pignataro,Andrea Pignataro,Financial software,Italy,M,55,https://specials-images.forbesimg.com/imageserve/660c251294ad0b108cfcdf06/416x416.jpg?background=000000&cropX1=711&cropX2=2015&cropY1=56&cropY2=1360,36.8,36.8
55,miriam-adelson,Miriam Adelson & family,Casinos,United States,F,79,https://specials-images.forbesimg.com/imageserve/6488d2e2af4e79d11875c367/416x416.jpg?background=000000&cropX1=741&cropX2=1624&cropY1=351&cropY2=1233,36.7,37.0
56,abigail-johnson,Abigail Johnson,Fidelity,United States,F,63,https://specials-images.forbesimg.com/imageserve/6333a5b13de1fff2da377afb/416x416.jpg?background=000000&cropX1=0&cropX2=1077&cropY1=3&cropY2=1080,35.0,35.0
57,phil-knight,Phil Knight & family,Nike,United States,M,87,https://specials-images.forbesimg.com/imageserve/6488d5874961598251b12f50/416x416.jpg?background=000000&cropX1=598&cropX2=3344&cropY1=0&cropY2=2747,34.8,35.7
58,mackenzie-scott,MacKenzie Scott,Amazon,United States,F,55,https://specials-images.forbesimg.com/imageserve/63325f33de0e387de2dd5389/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,33.5,33.9
59,prajogo-pangestu,Prajogo Pangestu,"Petrochemicals, energy",Indonesia,M,81,https://specials-images.forbesimg.com/imageserve/656f8476e94e04b7e93336c8/416x416.jpg?background=000000&cropX1=0&cropX2=2961&cropY1=0&cropY2=2961,33.4,33.5
60,thomas-frist-jr,Thomas Frist Jr & family,Hospitals,United States,M,87,https://specials-images.forbesimg.com/imageserve/ee825ff539047091cda533423b10d65b/416x416.jpg?background=000000&cropX1=16&cropX2=947&cropY1=153&cropY2=1084,32.6,32.4
61,marilyn-simons,Marilyn Simons & family,Hedge funds,United States,F,74,https://specials-images.forbesimg.com/imageserve/66fb374ccc56f1359fc8a29f/416x416.jpg?background=000000&cropX1=415&cropX2=1146&cropY1=156&cropY2=886,32.5,32.5
62,shiv-nadar,Shiv Nadar,Software services,India,M,80,https://specials-images.forbesimg.com/imageserve/605e2b0c7cd0a7025abd3e15/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,32.3,32.1
63,iris-fontbona,Iris Fontbona & family,Mining,Chile,F,82,https://specials-images.forbesimg.com/imageserve/5c6db2974bbe6f0ec75418f0/416x416.jpg?background=000000&cropX1=124&cropX2=491&cropY1=0&cropY2=367,31.5,31.7
64,eyal-ofer,Eyal Ofer,"Real estate, shipping",Israel,M,75,https://specials-images.forbesimg.com/imageserve/660c1a1c7931863e499fb8c4/416x416.jpg?background=000000&cropX1=137&cropX2=1211&cropY1=52&cropY2=1127,31.4,31.6
65,elaine-marshall,Elaine Marshall & family,Koch Inc.,United States,F,83,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,30.9,30.9
66,len-blavatnik,Len Blavatnik,"Music, chemicals",United States,M,68,https://specials-images.forbesimg.com/imageserve/5c745d7b4bbe6f072958dac9/416x416.jpg?background=000000&cropX1=473&cropX2=2103&cropY1=123&cropY2=1753,30.9,31.0
67,gina-rinehart,Gina Rinehart,Mining,Australia,F,71,https://specials-images.forbesimg.com/imageserve/67aa659166c227f5f4d5062f/416x416.jpg?background=000000&cropX1=102&cropX2=1428&cropY1=416&cropY2=1744,30.4,30.4
68,he-xiangjian,He Xiangjian & family,Home appliances,China,M,83,https://specials-images.forbesimg.com/imageserve/5f88aa3c6e0f7a6ca036fc64/416x416.jpg?background=000000&cropX1=1462&cropX2=2567&cropY1=1200&cropY2=2305,29.5,28.8
69,melinda-french-gates,Melinda French Gates,"Microsoft, investments",United States,F,61,https://specials-images.forbesimg.com/imageserve/667c353f73ede9cb9df2aefe/416x416.jpg?background=000000&cropX1=371&cropX2=1022&cropY1=145&cropY2=796,29.3,29.3
70,emmanuel-besnier,Emmanuel Besnier,Cheese,France,M,54,https://specials-images.forbesimg.com/imageserve/5e759e31c7b02d000666c445/416x416.jpg?background=000000&cropX1=283&cropX2=1696&cropY1=1002&cropY2=2414,28.7,28.7
71,vagit-alekperov,Vagit Alekperov,Oil,Russia,M,75,https://specials-images.forbesimg.com/imageserve/62291dbe5c22ffeaf37a7528/416x416.jpg?background=000000&cropX1=232&cropX2=1762&cropY1=83&cropY2=1614,28.7,28.7
72,jack-ma,Jack Ma,E-commerce,China,M,61,https://specials-images.forbesimg.com/imageserve/605e22fe6df966b3fcbd3e15/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,28.6,28.3
73,idan-ofer,Idan Ofer,Shipping,Israel,M,69,https://specials-images.forbesimg.com/imageserve/5e76cd8010380d0006fbb808/416x416.jpg?background=000000&cropX1=25&cropX2=1096&cropY1=93&cropY2=1164,28.6,28.7
74,alexey-mordashov,Alexey Mordashov & family,"Steel, investments",Russia,M,59,https://specials-images.forbesimg.com/imageserve/5e87b07fbf94c200067fcf57/416x416.jpg?background=000000&cropX1=1002&cropX2=4157&cropY1=163&cropY2=3318,28.6,28.6
75,leonid-mikhelson,Leonid Mikhelson & family,"Gas, chemicals",Russia,M,70,https://specials-images.forbesimg.com/imageserve/6229141941920264022edc8a/416x416.jpg?background=000000&cropX1=81&cropX2=3456&cropY1=941&cropY2=4318,28.4,28.4
76,susanne-klatten,Susanne Klatten,"BMW, pharmaceuticals",Germany,F,63,https://specials-images.forbesimg.com/imageserve/605e281e4f49584f571c9c42/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,27.9,28.0
77,henry-samueli,Henry Samueli,Semiconductors,United States,M,71,https://specials-images.forbesimg.com/imageserve/5d8aa0fd6de3150009a5030b/416x416.jpg?background=000000&cropX1=376&cropX2=1438&cropY1=38&cropY2=1100,27.8,27.7
78,andreas-von-bechtolsheim,Andreas von Bechtolsheim & family,Google,Germany,M,69,https://specials-images.forbesimg.com/imageserve/5e761636d8e1ae0007b718e0/416x416.jpg?background=000000&cropX1=240&cropX2=1726&cropY1=407&cropY2=1894,27.8,27.9
79,lyndal-stephens-greth,Lyndal Stephens Greth & family,Oil & gas,United States,F,50,https://specials-images.forbesimg.com/imageserve/66fb2bd596806737569ab7ef/416x416.jpg?background=000000&cropX1=0&cropX2=2143&cropY1=180&cropY2=2323,27.5,27.4
80,eric-schmidt,Eric Schmidt,Google,United States,M,70,https://specials-images.forbesimg.com/imageserve/5f4526a6f048a75b8e14e6b2/416x416.jpg?background=000000&cropX1=0&cropX2=3235&cropY1=381&cropY2=3615,26.6,26.8
81,stefan-quandt,Stefan Quandt,BMW,Germany,M,59,https://specials-images.forbesimg.com/imageserve/f257c2f96ce1171be43e685e6d8f9fa3/416x416.jpg?background=000000&cropX1=124&cropX2=725&cropY1=92&cropY2=693,26.6,26.7
82,vladimir-lisin,Vladimir Lisin,"Steel, transport",Russia,M,69,https://specials-images.forbesimg.com/imageserve/5e77914ec7b02d000666d900/416x416.jpg?background=000000&cropX1=825&cropX2=3235&cropY1=50&cropY2=2459,26.5,26.5
83,daniel-gilbert,Daniel Gilbert,Rocket Mortgage,United States,M,63,https://specials-images.forbesimg.com/imageserve/5e444fcb112160000621ed4c/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=307&cropY2=2307,26.0,26.7
84,wang-ning,Wang Ning & family,Toys,China,M,38,https://specials-images.forbesimg.com/imageserve/606c82db99e962b0d731e4a3/416x416.jpg?background=000000&cropX1=585&cropX2=2019&cropY1=265&cropY2=1700,25.8,26.9
85,low-tuck-kwong,Low Tuck Kwong,Coal,Indonesia,M,77,https://specials-images.forbesimg.com/imageserve/638e24ef7ed4f1a8cd55d457/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=212&cropY2=1292,25.0,25.0
86,chen-tianshi,Chen Tianshi,Semiconductors,China,M,40,https://specials-images.forbesimg.com/imageserve/67250163f0373fd6c98ccf56/416x416.jpg?background=000000&cropX1=269&cropX2=642&cropY1=225&cropY2=598,24.9,25.1
87,wang-chuanfu,Wang Chuanfu,"Batteries, automobiles",China,M,59,https://specials-images.forbesimg.com/imageserve/6724f36fdb3e3cde246024f3/416x416.jpg?background=000000&cropX1=1270&cropX2=3561&cropY1=116&cropY2=2405,24.8,25.7
88,rupert-murdoch,Rupert Murdoch & family,"Newspapers, TV network",United States,M,94,https://specials-images.forbesimg.com/imageserve/6067bf2f800a3f1324d4c89c/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,24.7,24.7
89,aliko-dangote,Aliko Dangote,"Cement, sugar",Nigeria,M,68,https://specials-images.forbesimg.com/imageserve/5c33a1554bbe6f7020fb2fd2/416x416.jpg?background=000000&cropX1=865&cropX2=2774&cropY1=206&cropY2=2115,24.3,24.4
90,vladimir-potanin,Vladimir Potanin,Metals,Russia,M,64,https://specials-images.forbesimg.com/imageserve/5e87ae86582b5d00068ce78c/416x416.jpg?background=000000&cropX1=1187&cropX2=4259&cropY1=272&cropY2=3347,24.2,24.2
91,robert-pera,Robert Pera,Wireless networking,United States,M,47,https://specials-images.forbesimg.com/imageserve/5f1f2df0e0da1e7313d9879a/416x416.jpg?background=000000&cropX1=217&cropX2=1125&cropY1=71&cropY2=980,24.0,24.0
92,dilip-shanghvi,Dilip Shanghvi,Pharmaceuticals,India,M,69,https://specials-images.forbesimg.com/imageserve/6704762b26a3718467a86b9a/416x416.jpg?background=000000&cropX1=326&cropX2=2423&cropY1=96&cropY2=2195,23.9,24.3
93,peter-thiel,Peter Thiel,"Facebook, investments",United States,M,57,https://specials-images.forbesimg.com/imageserve/5a836fff31358e4955ad6549/416x416.jpg?background=000000&cropX1=234&cropX2=790&cropY1=7&cropY2=563,23.9,23.9
94,david-tepper,David Tepper,Hedge funds,United States,M,68,https://specials-images.forbesimg.com/imageserve/5f4e9ddf5539e4341ae861af/416x416.jpg?background=000000&cropX1=1423&cropX2=4003&cropY1=121&cropY2=2699,23.7,23.7
95,cyrus-poonawalla,Cyrus Poonawalla,Vaccines,India,M,84,https://specials-images.forbesimg.com/imageserve/6345b0f307bca24e9e6bc226/416x416.jpg?background=000000&cropX1=303&cropX2=2284&cropY1=451&cropY2=2434,23.5,23.5
96,gennady-timchenko,Gennady Timchenko,"Oil, gas",Russia,M,72,https://specials-images.forbesimg.com/imageserve/622b778d7c4aefebd5cbea11/416x416.jpg?background=000000&cropX1=0&cropX2=2317&cropY1=426&cropY2=2744,23.2,23.2
97,zheng-shuliang,Zheng Shuliang & family,Aluminum products,China,F,79,https://specials-images.forbesimg.com/imageserve/6724f9cdf203631b720a86fe/416x416.jpg?background=000000&cropX1=2&cropX2=800&cropY1=1&cropY2=799,23.2,23.6
98,steve-cohen,Steve Cohen,Hedge funds,United States,M,69,https://specials-images.forbesimg.com/imageserve/5a8d946e4bbe6f2652f61ca6/416x416.jpg?background=000000&cropX1=703&cropX2=3292&cropY1=80&cropY2=2667,23.0,23.0
99,vicky-safra,Vicky Safra & family,Banking,Brazil,F,72,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,22.9,22.9
100,ernest-garcia-ii,Ernest Garcia II,Used cars,United States,M,68,https://specials-images.forbesimg.com/imageserve/5ba3dab8a7ea434e4c693d17/416x416.jpg?background=000000&cropX1=263&cropX2=600&cropY1=192&cropY2=529,22.9,23.1
101,giancarlo-devasini,Giancarlo Devasini,Cryptocurrency,Italy,M,61,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,22.4,22.4
102,diane-hendricks,Diane Hendricks,Building supplies,United States,F,78,https://specials-images.forbesimg.com/imageserve/64a853a98e6fe5954491cf23/416x416.jpg?background=000000&cropX1=319&cropX2=1470&cropY1=22&cropY2=1174,22.3,22.3
103,francois-pinault,François Pinault & family,Luxury goods,France,M,89,https://specials-images.forbesimg.com/imageserve/5f1eeca8e77f92a058fb1a81/416x416.jpg?background=000000&cropX1=1806&cropX2=3901&cropY1=36&cropY2=2133,22.0,21.5
104,kumar-birla,Kumar Birla,Diversified,India,M,58,https://specials-images.forbesimg.com/imageserve/67047885091acf87e0f3144d/416x416.jpg?background=000000&cropX1=346&cropX2=2015&cropY1=64&cropY2=1733,21.5,21.3
105,qin-yinglin,Qin Yinglin,Pig breeding,China,M,60,https://specials-images.forbesimg.com/imageserve/a3722ff48b63420aa857d7c876d5c521/416x416.jpg?background=000000&cropX1=18&cropX2=744&cropY1=34&cropY2=761,21.5,21.6
106,stanley-kroenke,Stanley Kroenke,"Sports, real estate",United States,M,78,https://specials-images.forbesimg.com/imageserve/5d8a620422254b0008e15a49/416x416.jpg?background=000000&cropX1=401&cropX2=2960&cropY1=0&cropY2=2557,21.3,21.3
107,rick-cohen,Rick Cohen & family,Warehouse automation,United States,M,73,https://specials-images.forbesimg.com/imageserve/632cd1f8e06f3f48e97d2c34/416x416.jpg?background=000000&cropX1=1133&cropX2=2085&cropY1=255&cropY2=1207,21.3,22.1
108,huang-shilin,Huang Shilin,Batteries,China,M,58,https://specials-images.forbesimg.com/imageserve/6724f66a677dfa37e85e605f/416x416.jpg?background=000000&cropX1=2&cropX2=800&cropY1=2&cropY2=800,20.4,20.7
109,john-menard-jr,John Menard Jr,Home improvement stores,United States,M,85,https://specials-images.forbesimg.com/imageserve/5f0f870a933def00067666de/416x416.jpg?background=000000&cropX1=223&cropX2=1909&cropY1=133&cropY2=1820,20.0,20.0
110,r-budi-hartono,R. Budi Hartono,"Banking, tobacco",Indonesia,M,85,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,20.0,20.2
111,christy-walton,Christy Walton,Walmart,United States,F,76,https://specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=13&cropX2=744&cropY1=29&cropY2=761,19.8,19.7
112,harry-triguboff,Harry Triguboff,Real estate,Australia,M,92,https://specials-images.forbesimg.com/imageserve/63ea5408a2141a8698e3c457/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1079,19.8,19.8
113,renata-kellnerova,Renata Kellnerova & family,"Finance, telecommunications",Czech Republic,F,58,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,19.7,19.7
114,jerry-jones,Jerry Jones & family,Dallas Cowboys,United States,M,82,https://specials-images.forbesimg.com/imageserve/5d8a639e6de3150009a4f883/416x416.jpg?background=000000&cropX1=943&cropX2=2577&cropY1=0&cropY2=1633,19.6,19.6
115,henry-nicholas-iii,Henry Nicholas III,Semiconductors,United States,M,65,https://specials-images.forbesimg.com/imageserve/5f49795b4ab4bd09fe628b58/416x416.jpg?background=000000&cropX1=208&cropX2=1476&cropY1=88&cropY2=1355,19.6,19.6
