rank,id,name,source,country,gender,age,image,current_worth,previous_worth
744,jim-coulter,Jim Coulter,Private equity,United States,M,65,https://specials-images.forbesimg.com/imageserve/632cd0067cdb1c63da44b122/416x416.jpg?background=000000&cropX1=1349&cropX2=3126&cropY1=69&cropY2=1848,5.3,5.4
745,qian-dongqi,Qian Dongqi,Home-cleaning robots,China,M,67,https://specials-images.forbesimg.com/imageserve/5e78ddda10380d0006fbd5f5/416x416.jpg?background=000000&cropX1=0&cropX2=180&cropY1=2&cropY2=182,5.3,5.4
746,ben-chestnut,Ben Chestnut,Email marketing,United States,M,51,https://specials-images.forbesimg.com/imageserve/5c7438c431358e35dd272b5d/416x416.jpg?background=000000&cropX1=1123&cropX2=3591&cropY1=891&cropY2=3360,5.3,5.3
747,smita-crishna-godrej,Smita Crishna Godrej,Consumer goods,India,F,74,https://specials-images.forbesimg.com/imageserve/5a7f5040a7ea431690132bc3/416x416.jpg?background=000000&cropX1=27&cropX2=809&cropY1=55&cropY2=836,5.3,5.3
748,hortensia-herrero,Hortensia Herrero,Supermarkets,Spain,F,75,https://specials-images.forbesimg.com/imageserve/5e77bd9ed8e1ae0007b734f3/416x416.jpg?background=000000&cropX1=2210&cropX2=3399&cropY1=414&cropY2=1604,5.3,5.3
749,niels-peter-louis-hansen,Niels Peter Louis-Hansen,Medical devices,Denmark,M,77,https://specials-images.forbesimg.com/imageserve/d0b9926c84cb83dc19638faf3e09ff04/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=11&cropY2=754,5.3,5.3
750,andre-koo,Andre Koo,Financial services,Taiwan,M,58,https://specials-images.forbesimg.com/imageserve/6091bac098a99aea07723c48/416x416.jpg?background=000000&cropX1=2&cropX2=1572&cropY1=7&cropY2=1577,5.3,5.3
751,daniel-daniello,Daniel D'Aniello,Private equity,United States,M,79,https://specials-images.forbesimg.com/imageserve/57e17dbc31358e16c589bf64/416x416.jpg?background=000000&cropX1=176&cropX2=736&cropY1=0&cropY2=561,5.3,5.3
752,steven-spielberg,Steven Spielberg,Movies,United States,M,78,https://specials-images.forbesimg.com/imageserve/5f497384226032c2eb8faecb/416x416.jpg?background=000000&cropX1=377&cropX2=3114&cropY1=768&cropY2=3504,5.3,5.3
753,chandru-raheja,Chandru Raheja,Real estate,India,M,84,https://specials-images.forbesimg.com/imageserve/6525630e987c96c66b1b3980/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,5.3,5.3
754,gao-dekang,Gao Dekang & family,Apparel,China,M,73,https://specials-images.forbesimg.com/imageserve/654a57ff0519c4723c4dc442/416x416.jpg?background=000000&cropX1=1998&cropX2=3413&cropY1=428&cropY2=1842,5.3,5.4
755,tomas-olivo-lopez,Tomas Olivo Lopez,Shopping centers,Spain,M,51,https://specials-images.forbesimg.com/imageserve/5a8115e1a7ea43169013404b/416x416.jpg?background=000000&cropX1=714&cropX2=1463&cropY1=120&cropY2=868,5.3,5.3
756,gil-shwed,Gil Shwed,Software,Israel,M,57,https://specials-images.forbesimg.com/imageserve/5c70c5fa4bbe6f79c5474086/416x416.jpg?background=000000&cropX1=3541&cropX2=5409&cropY1=1250&cropY2=3117,5.3,5.4
757,nicolas-dieteren,Nicolas D'Ieteren,"Auto parts, distribution",Belgium,M,50,https://st3.depositphotos.com/6672868/13701/v/450/depositphotos_137014128-stock-illustration-user-profile-icon.jpg,5.3,5.5
758,margot-birmingham-perot,Margot Birmingham Perot,"Computer services, real estate",United States,F,91,https://specials-images.forbesimg.com/imageserve/5d8accb66de3150009a505e7/416x416.jpg?background=000000&cropX1=392&cropX2=2002&cropY1=3&cropY2=1613,5.3,5.3
759,liu-jingkang,Liu Jingkang,Cameras,China,M,34,https://specials-images.forbesimg.com/imageserve/6849a1d37d32f8e8d4345ca7/416x416.jpg?background=000000&cropX1=473&cropX2=1350&cropY1=416&cropY2=1292,5.3,4.9
760,hans-georg-naeder,Hans Georg Naeder & family,Prosthetics,Germany,M,64,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,5.3,5.3
761,chen-zhiping,Chen Zhiping,E-cigarettes,China,M,49,https://specials-images.forbesimg.com/imageserve/6182c460dd603796f4e9678c/416x416.jpg?background=000000&cropX1=293&cropX2=683&cropY1=8&cropY2=398,5.3,5.2
762,bob-gaglardi,Bob Gaglardi & family,Hotels,Canada,M,84,https://specials-images.forbesimg.com/imageserve/5c50c6a34bbe6f7020fd7880/416x416.jpg?background=000000&cropX1=8&cropX2=2210&cropY1=95&cropY2=2298,5.2,5.2
763,willy-michel,Willy Michel,Medical devices,Switzerland,M,78,https://specials-images.forbesimg.com/imageserve/5c723cfa4bbe6f51818aba88/416x416.jpg?background=000000&cropX1=42&cropX2=3300&cropY1=431&cropY2=3688,5.2,5.2
764,jamshyd-godrej,Jamshyd Godrej,"Consumer goods, real estate",India,M,76,https://specials-images.forbesimg.com/imageserve/67047bcdd25c504f98b3b8ef/416x416.jpg?background=000000&cropX1=2&cropX2=1169&cropY1=63&cropY2=1230,5.2,5.2
765,josh-kushner,Josh Kushner,Venture capital  ,United States,M,40,https://specials-images.forbesimg.com/imageserve/6515b485c42188e5953ab5b7/416x416.jpg?background=000000&cropX1=3&cropX2=564&cropY1=0&cropY2=561,5.2,5.2
